"report_number","date_reported","date_of_occurrence","time_of_occurrence","city","crime_code","crime_description","victim_age","victim_gender","weapon_used","crime_domain","police_deployed","case_closed","date_case_closed","year_of_occurrence"
11087,2021-04-07 20:00:00,2021-06-04 22:00:00,"19:39:00","Lucknow",364,"ILLEGAL POSSESSION",43,"F","Blunt Object","Other Crime",5,"No",NA,"2021"
11088,2021-04-09 13:00:00,2021-06-04 23:00:00,"14:39:00","Vasai",182,"BURGLARY",58,"M","Firearm","Other Crime",15,"Yes",2021-07-10 13:00:00,"2021"
11089,2021-04-09 09:00:00,2021-07-04,"17:14:00","Thane",229,"ROBBERY",38,"F","Firearm","Violent Crime",8,"Yes",2021-08-28 09:00:00,"2021"
11090,2021-04-09 16:00:00,2021-07-04 01:00:00,"15:14:00","Nagpur",504,"EXTORTION",79,"M","Firearm","Other Crime",2,"Yes",2021-06-15 16:00:00,"2021"
11091,2021-04-08 04:00:00,2021-07-04 02:00:00,"05:53:00","Delhi",463,"IDENTITY THEFT",44,"F","Explosives","Violent Crime",2,"Yes",2021-04-23 04:00:00,"2021"
11092,2021-04-09 13:00:00,2021-07-04 03:00:00,"19:08:00","Ahmedabad",344,"VEHICLE - STOLEN",60,"F","Blunt Object","Violent Crime",8,"No",NA,"2021"
11093,2021-04-08 05:00:00,2021-07-04 04:00:00,"18:40:00","Chennai",451,"HOMICIDE",23,"M","Blunt Object","Other Crime",18,"Yes",2021-10-23 05:00:00,"2021"
11094,2021-04-09 19:00:00,2021-07-04 05:00:00,"11:03:00","Bangalore",255,"ILLEGAL POSSESSION",44,"M","None","Other Crime",12,"Yes",2021-06-15 19:00:00,"2021"
11095,2021-04-07 09:00:00,2021-07-04 06:00:00,"06:40:00","Indore",200,"SHOPLIFTING",12,"F","Other","Other Crime",14,"Yes",2021-06-04 09:00:00,"2021"
11096,2021-04-07 12:00:00,2021-07-04 07:00:00,"03:05:00","Mumbai",279,"VANDALISM",28,"F","Poison","Other Crime",3,"Yes",2021-04-29 12:00:00,"2021"
11097,2021-04-07 22:00:00,2021-07-04 08:00:00,"13:38:00","Delhi",331,"SHOPLIFTING",70,"F","Poison","Other Crime",10,"No",NA,"2021"
11098,2021-04-10,2021-07-04 09:00:00,"12:04:00","Ahmedabad",116,"PUBLIC INTOXICATION",70,"F","Poison","Other Crime",16,"Yes",2021-04-26,"2021"
11099,2021-04-09 02:00:00,2021-07-04 10:00:00,"19:56:00","Jaipur",313,"SEXUAL ASSAULT",74,"F","Explosives","Violent Crime",10,"Yes",2021-10-15 02:00:00,"2021"
11100,2021-04-07 19:00:00,2021-07-04 11:00:00,"08:40:00","Surat",465,"IDENTITY THEFT",71,"M","Explosives","Violent Crime",5,"Yes",2021-05-14 19:00:00,"2021"
11101,2021-04-08 13:00:00,2021-07-04 12:00:00,"16:34:00","Hyderabad",528,"HOMICIDE",63,"M","Other","Other Crime",2,"No",NA,"2021"
11102,2021-04-09 22:00:00,2021-07-04 13:00:00,"16:33:00","Nagpur",322,"ILLEGAL POSSESSION",15,"F","Poison","Other Crime",6,"Yes",2021-04-30 22:00:00,"2021"
11103,2021-04-10 07:00:00,2021-07-04 14:00:00,"22:03:00","Pune",183,"ARSON",14,"F","Explosives","Fire Accident",11,"No",NA,"2021"
11104,2021-04-10 05:00:00,2021-07-04 15:00:00,"00:53:00","Delhi",498,"TRAFFIC VIOLATION",33,"F","Firearm","Traffic Fatality",11,"No",NA,"2021"
11105,2021-04-10 08:00:00,2021-07-04 16:00:00,"09:20:00","Pune",515,"FIREARM OFFENSE",36,"F","Knife","Fire Accident",5,"Yes",2021-07-06 08:00:00,"2021"
11106,2021-04-10 02:00:00,2021-07-04 17:00:00,"16:16:00","Pune",261,"VEHICLE - STOLEN",27,"F","Firearm","Violent Crime",8,"No",NA,"2021"
11107,2021-04-08 08:00:00,2021-07-04 18:00:00,"11:46:00","Patna",418,"IDENTITY THEFT",24,"F","Poison","Violent Crime",15,"No",NA,"2021"
11108,2021-04-09 01:00:00,2021-07-04 19:00:00,"01:15:00","Ahmedabad",257,"DRUG OFFENSE",57,"F","Other","Other Crime",10,"No",NA,"2021"
11109,2021-04-09 10:00:00,2021-07-04 20:00:00,"16:20:00","Mumbai",440,"ILLEGAL POSSESSION",48,"F","Poison","Other Crime",9,"Yes",2021-04-16 10:00:00,"2021"
11110,2021-04-08 14:00:00,2021-07-04 21:00:00,"12:00:00","Pune",159,"CYBERCRIME",68,"F","Other","Other Crime",9,"Yes",2021-04-23 14:00:00,"2021"
11111,2021-04-10 21:00:00,2021-07-04 22:00:00,"11:38:00","Jaipur",533,"FIREARM OFFENSE",44,"F","Firearm","Fire Accident",8,"No",NA,"2021"
11112,2021-04-10 16:00:00,2021-07-04 23:00:00,"05:14:00","Ludhiana",390,"HOMICIDE",23,"M","Knife","Other Crime",5,"Yes",2021-11-21 16:00:00,"2021"
11113,2021-04-08 11:00:00,2021-08-04,"23:10:00","Mumbai",136,"TRAFFIC VIOLATION",12,"M","Poison","Traffic Fatality",5,"Yes",2021-04-20 11:00:00,"2021"
11114,2021-04-08 21:00:00,2021-08-04 01:00:00,"04:38:00","Agra",586,"ARSON",26,"F","Knife","Fire Accident",14,"No",NA,"2021"
11115,2021-04-09 14:00:00,2021-08-04 02:00:00,"16:28:00","Delhi",212,"IDENTITY THEFT",72,"F","None","Violent Crime",1,"Yes",2021-06-30 14:00:00,"2021"
11116,2021-04-10 19:00:00,2021-08-04 03:00:00,"16:02:00","Delhi",380,"TRAFFIC VIOLATION",62,"F","Firearm","Traffic Fatality",7,"Yes",2021-04-21 19:00:00,"2021"
11117,2021-04-09 05:00:00,2021-08-04 04:00:00,"21:04:00","Chennai",146,"TRAFFIC VIOLATION",38,"M","Explosives","Traffic Fatality",9,"No",NA,"2021"
11118,2021-04-09 07:00:00,2021-08-04 05:00:00,"17:40:00","Ghaziabad",492,"IDENTITY THEFT",64,"M","Poison","Violent Crime",15,"Yes",2021-04-22 07:00:00,"2021"
11119,2021-04-08 13:00:00,2021-08-04 06:00:00,"19:51:00","Hyderabad",386,"VANDALISM",28,"F","Explosives","Other Crime",14,"No",NA,"2021"
11120,2021-04-09 15:00:00,2021-08-04 07:00:00,"04:09:00","Agra",175,"PUBLIC INTOXICATION",20,"M","Knife","Other Crime",15,"No",NA,"2021"
11121,2021-04-10 19:00:00,2021-08-04 08:00:00,"17:13:00","Jaipur",324,"FRAUD",51,"F","Poison","Other Crime",9,"Yes",2021-06-23 19:00:00,"2021"
11122,2021-04-08 11:00:00,2021-08-04 09:00:00,"22:44:00","Jaipur",208,"CYBERCRIME",18,"M","Other","Other Crime",17,"No",NA,"2021"
11123,2021-04-08 13:00:00,2021-08-04 10:00:00,"09:37:00","Chennai",107,"ARSON",46,"M","Firearm","Fire Accident",5,"Yes",2021-05-25 13:00:00,"2021"
11124,2021-04-10 02:00:00,2021-08-04 11:00:00,"02:42:00","Mumbai",218,"ARSON",29,"F","Other","Fire Accident",18,"No",NA,"2021"
11125,2021-04-10 06:00:00,2021-08-04 12:00:00,"05:12:00","Mumbai",546,"FRAUD",12,"M","Knife","Other Crime",9,"Yes",2021-05-14 06:00:00,"2021"
11126,2021-04-10 10:00:00,2021-08-04 13:00:00,"16:45:00","Mumbai",545,"IDENTITY THEFT",58,"M","None","Violent Crime",5,"Yes",2021-06-17 10:00:00,"2021"
11127,2021-04-09 07:00:00,2021-08-04 14:00:00,"12:19:00","Kanpur",287,"SEXUAL ASSAULT",65,"F","Explosives","Violent Crime",10,"No",NA,"2021"
11128,2021-04-08 17:00:00,2021-08-04 15:00:00,"15:12:00","Kolkata",564,"COUNTERFEITING",57,"M","Firearm","Other Crime",18,"No",NA,"2021"
11129,2021-04-09 20:00:00,2021-08-04 16:00:00,"03:29:00","Mumbai",501,"BURGLARY",28,"F","Other","Other Crime",14,"No",NA,"2021"
11130,2021-04-11 05:00:00,2021-08-04 17:00:00,"04:11:00","Mumbai",473,"VANDALISM",37,"F","Poison","Other Crime",1,"Yes",2021-06-19 05:00:00,"2021"
11131,2021-04-09 02:00:00,2021-08-04 18:00:00,"08:50:00","Ludhiana",221,"FRAUD",33,"F","Poison","Other Crime",14,"No",NA,"2021"
11132,2021-04-09 13:00:00,2021-08-04 19:00:00,"11:29:00","Delhi",272,"ASSAULT",44,"M","Explosives","Violent Crime",14,"Yes",2021-04-22 13:00:00,"2021"
11133,2021-04-11 10:00:00,2021-08-04 20:00:00,"07:08:00","Mumbai",390,"TRAFFIC VIOLATION",61,"F","Blunt Object","Traffic Fatality",9,"Yes",2021-04-17 10:00:00,"2021"
11134,2021-04-11 13:00:00,2021-08-04 21:00:00,"02:32:00","Kanpur",481,"FRAUD",21,"M","Knife","Other Crime",16,"No",NA,"2021"
11135,2021-04-10 02:00:00,2021-08-04 22:00:00,"13:54:00","Agra",109,"SHOPLIFTING",33,"M","Blunt Object","Other Crime",13,"Yes",2021-05-07 02:00:00,"2021"
11136,2021-04-09 13:00:00,2021-08-04 23:00:00,"16:29:00","Srinagar",301,"SEXUAL ASSAULT",76,"F","Poison","Violent Crime",6,"Yes",2022-07-25 13:00:00,"2021"
11137,2021-04-10 19:00:00,2021-09-04,"06:11:00","Chennai",213,"CYBERCRIME",30,"M","Poison","Other Crime",17,"Yes",2021-07-05 19:00:00,"2021"
11138,2021-04-09 19:00:00,2021-09-04 01:00:00,"10:45:00","Agra",208,"ASSAULT",51,"F","None","Violent Crime",14,"Yes",2021-05-06 19:00:00,"2021"
11139,2021-04-10 07:00:00,2021-09-04 02:00:00,"20:16:00","Mumbai",531,"IDENTITY THEFT",35,"M","Poison","Violent Crime",17,"No",NA,"2021"
11140,2021-04-11 21:00:00,2021-09-04 03:00:00,"22:13:00","Mumbai",463,"BURGLARY",79,"F","Explosives","Other Crime",6,"No",NA,"2021"
11141,2021-04-11 02:00:00,2021-09-04 04:00:00,"20:10:00","Hyderabad",195,"IDENTITY THEFT",13,"F","Explosives","Violent Crime",16,"No",NA,"2021"
11142,2021-04-11 13:00:00,2021-09-04 05:00:00,"04:58:00","Meerut",449,"BURGLARY",20,"M","Other","Other Crime",4,"No",NA,"2021"
11143,2021-04-10 06:00:00,2021-09-04 06:00:00,"06:29:00","Pune",414,"VEHICLE - STOLEN",63,"M","None","Violent Crime",11,"No",NA,"2021"
11144,2021-04-12 03:00:00,2021-09-04 07:00:00,"02:06:00","Patna",392,"SHOPLIFTING",63,"F","Other","Other Crime",17,"Yes",2021-05-03 03:00:00,"2021"
11145,2021-04-10 21:00:00,2021-09-04 08:00:00,"12:46:00","Delhi",501,"KIDNAPPING",11,"F","Poison","Other Crime",1,"No",NA,"2021"
11146,2021-04-11 06:00:00,2021-09-04 09:00:00,"20:49:00","Nagpur",536,"FIREARM OFFENSE",43,"F","Other","Fire Accident",8,"No",NA,"2021"
11147,2021-04-10 23:00:00,2021-09-04 10:00:00,"10:54:00","Pune",519,"FRAUD",20,"M","Other","Other Crime",7,"No",NA,"2021"
11148,2021-04-11 16:00:00,2021-09-04 11:00:00,"14:36:00","Chennai",164,"DOMESTIC VIOLENCE",14,"M","Other","Violent Crime",10,"Yes",2021-04-27 16:00:00,"2021"
11149,2021-04-10 13:00:00,2021-09-04 12:00:00,"23:01:00","Chennai",266,"TRAFFIC VIOLATION",39,"F","Knife","Traffic Fatality",10,"Yes",2021-05-09 13:00:00,"2021"
11150,2021-04-10 14:00:00,2021-09-04 13:00:00,"01:39:00","Pune",576,"HOMICIDE",27,"F","None","Other Crime",8,"Yes",2022-09-07 14:00:00,"2021"
11151,2021-04-12 05:00:00,2021-09-04 14:00:00,"09:04:00","Kanpur",417,"SHOPLIFTING",10,"F","Explosives","Other Crime",6,"No",NA,"2021"
11152,2021-04-12 05:00:00,2021-09-04 15:00:00,"17:05:00","Kanpur",247,"VANDALISM",59,"F","Poison","Other Crime",13,"No",NA,"2021"
11153,2021-04-12 07:00:00,2021-09-04 16:00:00,"10:48:00","Agra",488,"TRAFFIC VIOLATION",64,"F","Firearm","Traffic Fatality",19,"No",NA,"2021"
11154,2021-04-12 09:00:00,2021-09-04 17:00:00,"14:22:00","Ahmedabad",197,"DRUG OFFENSE",79,"M","Blunt Object","Other Crime",12,"No",NA,"2021"
11155,2021-04-11 12:00:00,2021-09-04 18:00:00,"17:05:00","Bangalore",500,"ASSAULT",73,"F","None","Violent Crime",3,"Yes",2021-06-22 12:00:00,"2021"
11156,2021-04-11 03:00:00,2021-09-04 19:00:00,"12:22:00","Bhopal",316,"ARSON",24,"F","Firearm","Fire Accident",6,"No",NA,"2021"
11157,2021-04-11 20:00:00,2021-09-04 20:00:00,"21:20:00","Kolkata",290,"PUBLIC INTOXICATION",64,"M","Blunt Object","Other Crime",9,"Yes",2021-04-23 20:00:00,"2021"
11158,2021-04-10 23:00:00,2021-09-04 21:00:00,"23:26:00","Bangalore",105,"VEHICLE - STOLEN",71,"F","Poison","Violent Crime",1,"Yes",2021-06-21 23:00:00,"2021"
11159,2021-04-11 16:00:00,2021-09-04 22:00:00,"12:12:00","Delhi",383,"HOMICIDE",58,"F","Poison","Other Crime",10,"Yes",2022-01-10 16:00:00,"2021"
11160,2021-04-12 17:00:00,2021-09-04 23:00:00,"20:59:00","Pune",557,"DOMESTIC VIOLENCE",47,"F","Explosives","Violent Crime",9,"Yes",2021-04-20 17:00:00,"2021"
11161,2021-04-12 10:00:00,2021-10-04,"05:34:00","Delhi",513,"SEXUAL ASSAULT",32,"F","Knife","Violent Crime",14,"No",NA,"2021"
11162,2021-04-12 22:00:00,2021-10-04 01:00:00,"02:32:00","Mumbai",508,"FRAUD",13,"F","Blunt Object","Other Crime",15,"Yes",2021-05-15 22:00:00,"2021"
11163,2021-04-12 07:00:00,2021-10-04 02:00:00,"11:23:00","Pune",181,"VEHICLE - STOLEN",26,"F","Knife","Violent Crime",2,"No",NA,"2021"
11164,2021-04-11 10:00:00,2021-10-04 03:00:00,"06:22:00","Delhi",560,"ASSAULT",18,"M","Blunt Object","Violent Crime",3,"No",NA,"2021"
11165,2021-04-11 04:00:00,2021-10-04 04:00:00,"19:03:00","Bhopal",170,"IDENTITY THEFT",72,"F","Poison","Violent Crime",3,"No",NA,"2021"
11166,2021-04-11 05:00:00,2021-10-04 05:00:00,"11:03:00","Kolkata",436,"EXTORTION",47,"F","Knife","Other Crime",1,"Yes",2021-06-03 05:00:00,"2021"
11167,2021-04-11 09:00:00,2021-10-04 06:00:00,"06:44:00","Jaipur",398,"FRAUD",17,"F","Blunt Object","Other Crime",8,"Yes",2021-05-13 09:00:00,"2021"
11168,2021-04-12 09:00:00,2021-10-04 07:00:00,"21:15:00","Bangalore",389,"ASSAULT",69,"F","Poison","Violent Crime",6,"Yes",2021-06-01 09:00:00,"2021"
11169,2021-04-11 07:00:00,2021-10-04 08:00:00,"23:04:00","Visakhapatnam",572,"TRAFFIC VIOLATION",61,"F","Knife","Traffic Fatality",14,"Yes",2021-05-04 07:00:00,"2021"
11170,2021-04-12 08:00:00,2021-10-04 09:00:00,"07:41:00","Lucknow",117,"SHOPLIFTING",70,"F","Blunt Object","Other Crime",11,"Yes",2021-05-09 08:00:00,"2021"
11171,2021-04-11 19:00:00,2021-10-04 10:00:00,"13:42:00","Kolkata",234,"IDENTITY THEFT",14,"F","None","Violent Crime",15,"No",NA,"2021"
11172,2021-04-10 12:00:00,2021-10-04 11:00:00,"19:57:00","Pune",382,"VANDALISM",40,"F","Explosives","Other Crime",15,"Yes",2021-05-18 12:00:00,"2021"
11173,2021-04-10 17:00:00,2021-10-04 12:00:00,"02:13:00","Ahmedabad",390,"VANDALISM",68,"M","Other","Other Crime",4,"Yes",2021-05-09 17:00:00,"2021"
11174,2021-04-12 06:00:00,2021-10-04 13:00:00,"04:30:00","Surat",484,"SHOPLIFTING",71,"F","Blunt Object","Other Crime",13,"No",NA,"2021"
11175,2021-04-11 05:00:00,2021-10-04 14:00:00,"16:57:00","Bangalore",393,"VEHICLE - STOLEN",76,"F","Firearm","Violent Crime",9,"No",NA,"2021"
11176,2021-04-10 21:00:00,2021-10-04 15:00:00,"12:19:00","Surat",570,"ASSAULT",37,"M","Firearm","Violent Crime",16,"Yes",2021-05-14 21:00:00,"2021"
11177,2021-04-13 10:00:00,2021-10-04 16:00:00,"16:30:00","Hyderabad",407,"IDENTITY THEFT",18,"F","Other","Violent Crime",2,"No",NA,"2021"
11178,2021-04-10 20:00:00,2021-10-04 17:00:00,"23:59:00","Hyderabad",549,"VEHICLE - STOLEN",61,"F","Firearm","Violent Crime",19,"No",NA,"2021"
11179,2021-04-12 16:00:00,2021-10-04 18:00:00,"06:36:00","Thane",291,"ILLEGAL POSSESSION",79,"M","Poison","Other Crime",3,"Yes",2021-06-30 16:00:00,"2021"
11180,2021-04-13 15:00:00,2021-10-04 19:00:00,"19:06:00","Delhi",333,"TRAFFIC VIOLATION",18,"F","Blunt Object","Traffic Fatality",16,"Yes",2021-04-14 15:00:00,"2021"
11181,2021-04-13 07:00:00,2021-10-04 20:00:00,"05:14:00","Jaipur",434,"HOMICIDE",54,"F","Other","Other Crime",4,"Yes",2021-10-13 07:00:00,"2021"
11182,2021-04-13 15:00:00,2021-10-04 21:00:00,"21:18:00","Agra",418,"ASSAULT",32,"F","None","Violent Crime",9,"No",NA,"2021"
11183,2021-04-11 20:00:00,2021-10-04 22:00:00,"19:36:00","Chennai",579,"ASSAULT",37,"M","Knife","Violent Crime",16,"Yes",2021-07-03 20:00:00,"2021"
11184,2021-04-13 14:00:00,2021-10-04 23:00:00,"04:50:00","Lucknow",533,"ROBBERY",24,"M","Explosives","Violent Crime",11,"Yes",2021-08-28 14:00:00,"2021"
11185,2021-04-11 04:00:00,2021-11-04,"15:10:00","Bhopal",141,"SHOPLIFTING",76,"F","None","Other Crime",19,"Yes",2021-05-16 04:00:00,"2021"
11186,2021-04-12 14:00:00,2021-11-04 01:00:00,"05:47:00","Mumbai",253,"ASSAULT",28,"F","Poison","Violent Crime",15,"Yes",2021-06-25 14:00:00,"2021"
11187,2021-04-11 13:00:00,2021-11-04 02:00:00,"02:25:00","Visakhapatnam",208,"FRAUD",35,"F","Other","Other Crime",10,"Yes",2021-04-29 13:00:00,"2021"
11188,2021-04-12 17:00:00,2021-11-04 03:00:00,"16:03:00","Hyderabad",193,"SEXUAL ASSAULT",19,"F","Firearm","Violent Crime",1,"No",NA,"2021"
11189,2021-04-11 10:00:00,2021-11-04 04:00:00,"15:54:00","Delhi",108,"SHOPLIFTING",26,"F","Other","Other Crime",2,"Yes",2021-04-22 10:00:00,"2021"
11190,2021-04-13 09:00:00,2021-11-04 05:00:00,"10:57:00","Chennai",131,"DRUG OFFENSE",68,"F","Knife","Other Crime",7,"Yes",2021-06-20 09:00:00,"2021"
11191,2021-04-11 20:00:00,2021-11-04 06:00:00,"05:31:00","Pune",589,"ROBBERY",14,"F","Poison","Violent Crime",14,"Yes",2021-09-11 20:00:00,"2021"
11192,2021-04-11 21:00:00,2021-11-04 07:00:00,"22:52:00","Mumbai",342,"BURGLARY",77,"M","None","Other Crime",14,"No",NA,"2021"
11193,2021-04-11 13:00:00,2021-11-04 08:00:00,"08:53:00","Indore",400,"VEHICLE - STOLEN",39,"F","Knife","Violent Crime",11,"No",NA,"2021"
11194,2021-04-13 16:00:00,2021-11-04 09:00:00,"15:12:00","Bangalore",460,"ASSAULT",25,"F","Explosives","Violent Crime",13,"No",NA,"2021"
11195,2021-04-13 13:00:00,2021-11-04 10:00:00,"16:33:00","Mumbai",440,"CYBERCRIME",12,"F","Other","Other Crime",19,"No",NA,"2021"
11196,2021-04-14 04:00:00,2021-11-04 11:00:00,"00:38:00","Delhi",544,"KIDNAPPING",71,"F","Blunt Object","Other Crime",15,"Yes",2021-05-15 04:00:00,"2021"
11197,2021-04-11 13:00:00,2021-11-04 12:00:00,"19:02:00","Kanpur",388,"COUNTERFEITING",53,"F","Other","Other Crime",10,"No",NA,"2021"
11198,2021-04-12,2021-11-04 13:00:00,"20:08:00","Hyderabad",562,"CYBERCRIME",50,"M","Blunt Object","Other Crime",4,"No",NA,"2021"
11199,2021-04-13 01:00:00,2021-11-04 14:00:00,"05:34:00","Kanpur",331,"VEHICLE - STOLEN",37,"F","Firearm","Violent Crime",14,"Yes",2021-06-02 01:00:00,"2021"
11200,2021-04-12 13:00:00,2021-11-04 15:00:00,"14:16:00","Visakhapatnam",550,"SHOPLIFTING",65,"F","Firearm","Other Crime",1,"No",NA,"2021"
11201,2021-04-12 06:00:00,2021-11-04 16:00:00,"14:37:00","Kanpur",341,"FIREARM OFFENSE",65,"F","Other","Fire Accident",16,"Yes",2021-05-14 06:00:00,"2021"
11202,2021-04-14 09:00:00,2021-11-04 17:00:00,"17:16:00","Lucknow",177,"BURGLARY",60,"F","Poison","Other Crime",5,"Yes",2021-06-04 09:00:00,"2021"
11203,2021-04-12 18:00:00,2021-11-04 18:00:00,"08:58:00","Nagpur",179,"SHOPLIFTING",55,"F","Explosives","Other Crime",2,"Yes",2021-06-27 18:00:00,"2021"
11204,2021-04-12 20:00:00,2021-11-04 19:00:00,"07:22:00","Varanasi",287,"ROBBERY",14,"M","Knife","Violent Crime",7,"No",NA,"2021"
11205,2021-04-13 01:00:00,2021-11-04 20:00:00,"14:25:00","Delhi",386,"COUNTERFEITING",48,"F","Blunt Object","Other Crime",7,"No",NA,"2021"
11206,2021-04-12 21:00:00,2021-11-04 21:00:00,"02:51:00","Chennai",390,"DRUG OFFENSE",41,"M","Blunt Object","Other Crime",18,"Yes",2021-05-15 21:00:00,"2021"
11207,2021-04-13 21:00:00,2021-11-04 22:00:00,"05:38:00","Delhi",507,"VANDALISM",65,"M","Explosives","Other Crime",6,"Yes",2021-06-23 21:00:00,"2021"
11208,2021-04-14 22:00:00,2021-11-04 23:00:00,"02:56:00","Agra",169,"FRAUD",23,"F","Poison","Other Crime",14,"No",NA,"2021"
11209,2021-04-14 01:00:00,2021-12-04,"04:18:00","Indore",171,"VEHICLE - STOLEN",19,"F","None","Violent Crime",14,"No",NA,"2021"
11210,2021-04-12 23:00:00,2021-12-04 01:00:00,"04:53:00","Indore",563,"IDENTITY THEFT",53,"F","Blunt Object","Violent Crime",18,"No",NA,"2021"
11211,2021-04-14 06:00:00,2021-12-04 02:00:00,"05:32:00","Indore",550,"ILLEGAL POSSESSION",76,"F","None","Other Crime",9,"No",NA,"2021"
11212,2021-04-14 23:00:00,2021-12-04 03:00:00,"08:53:00","Delhi",424,"SHOPLIFTING",77,"M","Poison","Other Crime",18,"No",NA,"2021"
11213,2021-04-14 17:00:00,2021-12-04 04:00:00,"03:13:00","Chennai",401,"EXTORTION",45,"M","Poison","Other Crime",13,"No",NA,"2021"
11214,2021-04-14 11:00:00,2021-12-04 05:00:00,"03:14:00","Delhi",246,"BURGLARY",67,"F","Explosives","Other Crime",15,"No",NA,"2021"
11215,2021-04-13 11:00:00,2021-12-04 06:00:00,"15:56:00","Mumbai",128,"ILLEGAL POSSESSION",36,"F","Knife","Other Crime",10,"No",NA,"2021"
11216,2021-04-12 18:00:00,2021-12-04 07:00:00,"10:01:00","Vasai",345,"SHOPLIFTING",39,"M","Knife","Other Crime",7,"Yes",2021-06-08 18:00:00,"2021"
11217,2021-04-13 09:00:00,2021-12-04 08:00:00,"07:23:00","Delhi",499,"BURGLARY",61,"F","None","Other Crime",6,"Yes",2021-07-16 09:00:00,"2021"
11218,2021-04-12 11:00:00,2021-12-04 09:00:00,"22:56:00","Chennai",297,"SHOPLIFTING",13,"F","Blunt Object","Other Crime",17,"No",NA,"2021"
11219,2021-04-15 07:00:00,2021-12-04 10:00:00,"21:28:00","Chennai",341,"DRUG OFFENSE",10,"F","Explosives","Other Crime",4,"No",NA,"2021"
11220,2021-04-13,2021-12-04 11:00:00,"14:59:00","Srinagar",461,"VEHICLE - STOLEN",15,"F","None","Violent Crime",1,"Yes",2021-06-27,"2021"
11221,2021-04-12 13:00:00,2021-12-04 12:00:00,"16:37:00","Lucknow",270,"PUBLIC INTOXICATION",45,"F","Firearm","Other Crime",1,"No",NA,"2021"
11222,2021-04-12 21:00:00,2021-12-04 13:00:00,"17:40:00","Kalyan",500,"EXTORTION",40,"F","Poison","Other Crime",3,"Yes",2021-06-27 21:00:00,"2021"
11223,2021-04-14 20:00:00,2021-12-04 14:00:00,"10:51:00","Vasai",408,"BURGLARY",76,"F","None","Other Crime",9,"Yes",2021-08-29 20:00:00,"2021"
11224,2021-04-14 16:00:00,2021-12-04 15:00:00,"21:38:00","Nagpur",124,"VEHICLE - STOLEN",37,"M","Poison","Violent Crime",11,"No",NA,"2021"
11225,2021-04-14 12:00:00,2021-12-04 16:00:00,"12:12:00","Jaipur",220,"BURGLARY",72,"M","Explosives","Other Crime",7,"No",NA,"2021"
11226,2021-04-14 10:00:00,2021-12-04 17:00:00,"23:51:00","Bangalore",564,"BURGLARY",22,"M","Blunt Object","Other Crime",2,"Yes",2021-08-20 10:00:00,"2021"
11227,2021-04-12 21:00:00,2021-12-04 18:00:00,"04:57:00","Kolkata",412,"CYBERCRIME",51,"F","Other","Other Crime",4,"No",NA,"2021"
11228,2021-04-14 18:00:00,2021-12-04 19:00:00,"14:24:00","Pune",429,"CYBERCRIME",59,"F","Knife","Other Crime",18,"No",NA,"2021"
11229,2021-04-15 15:00:00,2021-12-04 20:00:00,"22:39:00","Rajkot",241,"CYBERCRIME",28,"M","Blunt Object","Other Crime",3,"No",NA,"2021"
11230,2021-04-15 16:00:00,2021-12-04 21:00:00,"09:34:00","Hyderabad",457,"VANDALISM",34,"F","Other","Other Crime",19,"No",NA,"2021"
11231,2021-04-13 05:00:00,2021-12-04 22:00:00,"20:45:00","Mumbai",575,"EXTORTION",27,"F","Knife","Other Crime",9,"Yes",2021-06-29 05:00:00,"2021"
11232,2021-04-13 20:00:00,2021-12-04 23:00:00,"16:57:00","Delhi",174,"CYBERCRIME",13,"F","Explosives","Other Crime",3,"Yes",2021-06-27 20:00:00,"2021"
11665,2021-05-03 03:00:00,2021-01-05,"20:03:00","Delhi",435,"FIREARM OFFENSE",46,"M","Blunt Object","Fire Accident",2,"No",NA,"2021"
11666,2021-05-02 12:00:00,2021-01-05 01:00:00,"03:15:00","Delhi",475,"FRAUD",70,"F","Firearm","Other Crime",12,"Yes",2021-07-14 12:00:00,"2021"
11667,2021-05-01 04:00:00,2021-01-05 02:00:00,"13:01:00","Kolkata",126,"PUBLIC INTOXICATION",61,"F","Explosives","Other Crime",14,"No",NA,"2021"
11668,2021-05-04 01:00:00,2021-01-05 03:00:00,"02:18:00","Jaipur",432,"ROBBERY",69,"F","Knife","Violent Crime",19,"Yes",2021-09-11 01:00:00,"2021"
11669,2021-05-03 01:00:00,2021-01-05 04:00:00,"20:40:00","Ahmedabad",372,"DRUG OFFENSE",57,"F","Explosives","Other Crime",15,"No",NA,"2021"
11670,2021-05-03 23:00:00,2021-01-05 05:00:00,"10:25:00","Hyderabad",312,"ROBBERY",39,"M","Explosives","Violent Crime",16,"Yes",2021-09-07 23:00:00,"2021"
11671,2021-05-04 04:00:00,2021-01-05 06:00:00,"01:05:00","Srinagar",202,"DOMESTIC VIOLENCE",20,"F","Blunt Object","Violent Crime",1,"No",NA,"2021"
11672,2021-05-03 15:00:00,2021-01-05 07:00:00,"23:46:00","Mumbai",489,"HOMICIDE",78,"F","Explosives","Other Crime",7,"No",NA,"2021"
11673,2021-05-03 22:00:00,2021-01-05 08:00:00,"01:21:00","Ahmedabad",540,"EXTORTION",15,"F","Other","Other Crime",15,"Yes",2021-06-03 22:00:00,"2021"
11674,2021-05-03,2021-01-05 09:00:00,"07:05:00","Lucknow",481,"PUBLIC INTOXICATION",69,"F","Blunt Object","Other Crime",4,"Yes",2021-05-05,"2021"
